Gene	OptimalTree_Raw: species_tree.tre	AltTree1_Raw	AltTree2_Raw	OptimalTree_Corrected: species_tree.tre	AltTree1_Corrected	AltTree2_Corrected	AltTree1_Difference	AltTree2_Difference	PCS	Supported Tree
Gene 1	58604817	58593729	58593729	25809691	25804219	25804219	5472	5472	5472	0
Gene 2	57320079	57309171	57309171	24524953	24519661	24519661	5292	5292	5292	0
Gene 3	59877172	59866156	59866156	27082046	27076646	27076646	5400	5400	5400	0
Gene 4	53263577	53261549	53259737	20468451	20472039	20470227	-3588	-1776	-3588	1
Gene 5	48398395	48389935	48391987	15603269	15600425	15602477	2844	792	792	0
Gene 6	57567607	57556663	57556663	24772481	24767153	24767153	5328	5328	5328	0
Gene 7	48202553	48198233	48195155	15407427	15408723	15405645	-1296	1782	-1296	1
Gene 8	59055677	59044697	59044697	26260551	26255187	26255187	5364	5364	5364	0
Gene 9	51382230	51371682	51371682	18587104	18582172	18582172	4932	4932	4932	0
Gene 10	56283517	56277901	56283373	23488391	23488391	23493863	0	-5472	-5472	2
Gene 11	54444439	54433495	54433495	21649313	21643985	21643985	5328	5328	5328	0
Gene 12	51676771	51676267	51671155	18881645	18886757	18881645	-5112	0	-5112	1
Gene 13	54925969	54915205	54915205	22130843	22125695	22125695	5148	5148	5148	0
Gene 14	46197594	46191978	46196694	13402468	13402468	13407184	0	-4716	-4716	2
Gene 15	61876750	61865554	61865554	29081624	29076044	29076044	5580	5580	5580	0
Gene 16	59422857	59417241	59422641	26627731	26627731	26633131	0	-5400	-5400	2
Gene 17	62758124	62746928	62746928	29962998	29957418	29957418	5580	5580	5580	0
Gene 18	48883145	48872633	48872705	16088019	16083123	16083195	4896	4824	4824	0
Gene 19	55351929	55351749	55346313	22556803	22562239	22556803	-5436	0	-5436	1
Gene 20	49454236	49443616	49443616	16659110	16654106	16654106	5004	5004	5004	0
Gene 21	56831682	56826066	56831466	24036556	24036556	24041956	0	-5400	-5400	2
Gene 22	54678388	54671692	54669532	21883262	21882182	21880022	1080	3240	1080	0
Gene 23	63634368	63623172	63623172	30839242	30833662	30833662	5580	5580	5580	0
Gene 24	51534261	51523749	51523749	18739135	18734239	18734239	4896	4896	4896	0
Gene 25	50043934	50040046	50041774	17248808	17250536	17252264	-1728	-3456	-3456	2
Gene 26	46779662	46773536	46774214	13984536	13984026	13984704	510	-168	-168	2
SUM	1418449733	1418242643	1418250563	565776457	565715383	565723303	61074	53154
